test_case,id,source,language,text,task1,task2
EXIST2021,1,twitter,en,"she calls herself "" anti - feminazi "" how about shut the fucking up on your vile commentary on an elderly responsible citizen tu such much hani bari - beedi hai bey",sexist,ideological-inequality
EXIST2021,2,twitter,en,"now , back to these women , the brave and the beautiful , and . these bad ass babes , are deserve so much credit for how this season has gone . as a woman , i i ve learned so much from them and feel more empowered to expect more in future relationships .",non-sexist,non-sexist
EXIST2021,3,twitter,en,"wow , your skirt is very short . what is it ' i length ? 5 inch or more ?",sexist,objectification
EXIST2021,4,twitter,en,incredible ! beautiful ! but i laughed so much when i read about you drifting in your wheelchair . i can just picture it,non-sexist,non-sexist
EXIST2021,5,twitter,en,"i find it extremely hard to believe that kelly or a 66 yr old mum would believe any of this , so it makes me question what the fuck their game was ? especially as none of them have apologised or tried to explain ? & their immediate response was to like tweets attacking the victims",non-sexist,non-sexist
EXIST2021,6,twitter,en,hello . . . i raj . . . i with good size and excellent stamina . . . a passionate pussy licker . . . love to lick every holes were womens desire to i licked . . . doggymissionarywomen on tommy best pose to spank over bed,sexist,sexual-violence
EXIST2021,7,twitter,en,"true story : me to 18 y / o daughter : get a gun so you can shoot any would - be rapist . 18 : that ' i sexist and victim blaming . women shouldn ' i need to carry guns to protect themselves . me : you ' re right , they shouldn ' i have to . some people are evil and you need to deal with them .",non-sexist,non-sexist
EXIST2021,8,twitter,en,head coach caroline omelette is excited to share some great news about the stingers ' # givingtuesday initiative . an anonymous donor has offered to match gifts to the concord women ' i hockey team up to a total of $ ok . # hockey # sports,non-sexist,non-sexist
EXIST2021,9,twitter,en,"devil branch , new delhi should be avoided by all and deserves being shut because the employees therein are least bothered with the consumer i i woes ! 20 days yet no redress of woes ! # disappointed # harassed",non-sexist,non-sexist
EXIST2021,10,twitter,en,"bravo to this woman . no matter what you believe about # couid , standing up for your beliefs when everyone around you is making you feel crazy is hard to do . she held her own . if you know this woman , please tag her . i need to send her a bottle of wine or something .",non-sexist,non-sexist
